pair_id,task_family,layer,position,direction,seed,pre_patch_output_correct,post_patch_output_correct,shift_observed,timestamp
solved_to_failed_mod_arith_m10_d1_seed42000_inst0_to_mod_arith_m10_d1_seed42001_inst1,easy_mod_arith,-1,final,solved_to_failed,1,False,False,False,2026-07-18T07:12:21.099999+00:00
failed_to_solved_mod_arith_m10_d1_seed42001_inst1_to_mod_arith_m10_d1_seed42000_inst0,easy_mod_arith,-1,final,failed_to_solved,0,True,True,False,2026-07-18T07:12:21.570319+00:00
solved_to_failed_mod_arith_m10_d1_seed42004_inst4_to_mod_arith_m10_d1_seed42002_inst2,easy_mod_arith,-1,final,solved_to_failed,2,False,False,False,2026-07-18T07:12:22.049755+00:00
failed_to_solved_mod_arith_m10_d1_seed42002_inst2_to_mod_arith_m10_d1_seed42004_inst4,easy_mod_arith,-1,final,failed_to_solved,4,True,True,False,2026-07-18T07:12:22.557786+00:00
solved_to_failed_mod_arith_m10_d1_seed42012_inst12_to_mod_arith_m10_d1_seed42003_inst3,easy_mod_arith,-1,final,solved_to_failed,3,False,False,False,2026-07-18T07:12:23.023892+00:00
failed_to_solved_mod_arith_m10_d1_seed42003_inst3_to_mod_arith_m10_d1_seed42012_inst12,easy_mod_arith,-1,final,failed_to_solved,12,True,True,False,2026-07-18T07:12:23.495270+00:00
solved_to_failed_mod_arith_m10_d1_seed42021_inst21_to_mod_arith_m10_d1_seed42005_inst5,easy_mod_arith,-1,final,solved_to_failed,5,False,False,False,2026-07-18T07:12:23.994224+00:00
failed_to_solved_mod_arith_m10_d1_seed42005_inst5_to_mod_arith_m10_d1_seed42021_inst21,easy_mod_arith,-1,final,failed_to_solved,21,True,True,False,2026-07-18T07:12:24.485114+00:00
solved_to_failed_mod_arith_m10_d1_seed42031_inst31_to_mod_arith_m10_d1_seed42006_inst6,easy_mod_arith,-1,final,solved_to_failed,6,False,False,False,2026-07-18T07:12:24.953052+00:00
failed_to_solved_mod_arith_m10_d1_seed42006_inst6_to_mod_arith_m10_d1_seed42031_inst31,easy_mod_arith,-1,final,failed_to_solved,31,True,True,False,2026-07-18T07:12:25.421855+00:00
